Gem Name,Tier,IsLineage,Tags
Bone Offering,11,False,"Minion,Buff,AoE,Physical,Duration"
Comet,11,False,"Spell,AoE,Cold"
Firestorm,11,False,"Spell,AoE,Sustained,Fire,Duration,Storm"
Hexblast,11,False,"Spell,AoE,Chaos,Payoff"
Skeletal Storm Mage,11,False,"Minion,Persistent,Lightning"
Eye of Winter,13,False,"Spell,Projectile,Cold"
Flameblast,13,False,"Spell,AoE,Fire,Channelling,Nova,Staged"
Lightning Conduit,13,False,"Spell,AoE,Lightning"
Skeletal Brute,13,False,"Minion,Warcry,Persistent,Physical,Payoff"
Skeletal Cleric,13,False,"Minion,Persistent"
Soul Offering,13,False,"Minion,Buff,Duration"
Ancestral Spirits,1,False,"Minion,Trigger,Duration"
Apocalypse,1,False,"Buff,Spell,AoE,Trigger,Lightning,Cold,Fire,Duration,Conditional,Storm"
Align Fate,1,False,"Buff,Persistent"
Bleeding Concoction,1,False,"Attack,AoE,Projectile,Physical"
Ruzhan's Trap,1,False,"Command,AoE,Projectile,Fire,Duration,Hazard"
Ruzhan's Fury,1,False,"Command,AoE,Projectile,Fire"
Ruzhan's Reckoning,1,False,"Command,AoE,Fire"
Kelari's Deception,1,False,"Command,AoE,Physical,Duration"
Kelari's Judgment,1,False,"Command,AoE,Physical,Channelling"
Navira's Well,1,False,"Command,Duration"
Navira's Fracturing,1,False,"Command,AoE,Cold"
Navira's Oasis,1,False,"Command,AoE,Duration"
Kelari's Malediction,1,False,"Minion,Persistent,Command,Duration"
Elemental Expression,1,False,"Spell,AoE,Projectile,Trigger,Lightning,Cold,Fire,Chaining"
Elemental Storm,1,False,"Spell,AoE,Trigger,Lightning,Cold,Fire,Duration,Orb"
Encase in Jade,1,False,"Spell,Buff,Physical,Duration"
Explosive Concoction,1,False,"Attack,AoE,Projectile,Fire"
Fulminating Concoction,1,False,"Attack,AoE,Projectile,Lightning"
Life Remnants,1,False,"Buff,Persistent,Remnant"
Meditate,1,False,"Spell,Channelling"
Moment of Vulnerability,1,False,"Spell,AoE,Nova"
Acidic Concoction,1,False,"Attack,AoE,Projectile,Physical"
Shattering Concoction,1,False,"Attack,AoE,Projectile,Cold"
"Ruzhan, the Blazing Sword",1,False,"Minion,Persistent,Command,Fire"
Summon Infernal Hound,1,False,"Minion,Companion,Persistent,Fire"
"Kelari, the Tainted Sands",1,False,"Minion,Persistent,Command,Physical"
"Navira, the Last Mirage",1,False,"Minion,Persistent,Command,Cold"
Elemental Surge,1,False,"Attack,AoE,Trigger,Lightning,Cold,Fire"
Unbound Avatar,1,False,"Buff,Lightning,Cold,Fire,Duration,Conditional"
Unleash,1,False,"Spell,Buff,Duration"
Maul,1,False,"Attack,Shapeshift,Bear,AoE,Melee,Strike"
Blood Boil,1,False,"Buff,Persistent,AoE,Physical,Duration"
Fire Spell on Hit,1,False,"Buff,Persistent,Trigger,Fire,Meta"
Cast on Block,1,False,"Buff,Persistent,Trigger,Meta"
Decompose,1,False,"Spell,AoE,Trigger,Fire,Chaos,Duration"
Demon Form,1,False,"Shapeshift,Buff"
Gemini Surge,1,False,"Attack,AoE,Trigger,Cold,Fire"
Inevitable Agony,1,False,"Spell,AoE,Duration,Curse"
Into the Breach,1,False,"Buff,Persistent,Remnant"
Manifest Weapon,1,False,"Minion,Companion,Persistent"
Called Shots,1,False,"Buff,Persistent,AoE,Meta"
Mirage Deadeye,1,False,"Buff,Persistent,Trigger,Duration,Meta"
Parry,1,False,"Attack,Melee,Physical,Duration,Channelling"
Axe Slash,1,False,"Attack,AoE,Melee,Strike"
Mace Strike,1,False,"Attack,AoE,Melee,Strike"
Sword Slash,1,False,"Attack,AoE,Melee,Strike"
Axe Slash,1,False,"Attack,AoE,Melee,Strike"
Mace Strike,1,False,"Attack,AoE,Melee,Strike"
Sword Slash,1,False,"Attack,AoE,Melee,Strike"
Axe Slash,1,False,"Attack,AoE,Melee,Strike"
Bow Shot,1,False,"Attack,Projectile,Barrageable"
Claw Stab,1,False,"Attack,AoE,Melee,Strike"
Claw Stab,1,False,"Attack,AoE,Melee,Strike"
Crossbow Shot,1,False,"Attack,AoE,Ammunition,Projectile"
Dagger Stab,1,False,"Attack,AoE,Melee,Strike"
Dagger Stab,1,False,"Attack,AoE,Melee,Strike"
Flail Strike,1,False,"Attack,AoE,Melee,Strike"
Mace Strike,1,False,"Attack,AoE,Melee,Strike"
Quarterstaff Strike,1,False,"Attack,AoE,Melee,Strike"
Spear Stab,1,False,"Attack,AoE,Melee,Strike"
Spear Stab,1,False,"Attack,AoE,Melee,Strike"
Spear Throw,1,False,"Attack,AoE,Projectile,Barrageable"
Sword Slash,1,False,"Attack,AoE,Melee,Strike"
Punch,1,False,"Attack,AoE,Melee,Strike"
Ritual Sacrifice,1,False,"Buff,Duration"
Raise Shield,1,False,"Attack,AoE,Melee,Physical,Channelling"
Sorcery Ward,1,False,"Spell,Buff,Persistent,Lightning,Cold,Fire"
Consecrate,1,False,"Spell,AoE,Duration,Nova"
Supporting Fire,1,False,"Minion,Persistent"
Temper Weapon,1,False,"Attack,Buff,AoE,Melee,Trigger,Fire,Channelling"
Temporal Rift,1,False,"Spell,Buff,Persistent"
Time Freeze,1,False,"Spell,AoE,Duration"
Time Snap,1,False,Spell
Void Illusion,1,False,"Attack,Buff,Persistent,AoE,Trigger,Duration"
Shred,1,False,"Attack,Shapeshift,Werewolf,AoE,Melee,Strike,Projectile,Trigger,Cold,Payoff"
Rend,1,False,"Attack,Shapeshift,Wyvern,AoE,Melee,Strike,Duration"
Armour Piercing Rounds,1,False,"Attack,Ammunition,Projectile,Physical"
Entangle,1,False,"Spell,AoE,Sustained,Physical,Duration,Plant"
Explosive Grenade,1,False,"Attack,AoE,Projectile,Grenade,Fire,Detonator"
Falling Thunder,1,False,"Attack,AoE,Melee,Slam,Projectile,Lightning"
Fragmentation Rounds,1,False,"Attack,AoE,Ammunition,Projectile,Payoff,Merging"
Frozen Locus,1,False,"Attack,AoE,Melee,Cold,Duration"
Furious Slam,1,False,"Attack,Shapeshift,Bear,AoE,Melee,Slam"
Glacial Cascade,1,False,"Attack,AoE,Melee,Cold,Payoff"
Killing Palm,1,False,"Attack,AoE,Melee,Strike,Physical"
Lunar Assault,1,False,"Attack,Shapeshift,Werewolf,AoE,Melee,Strike,Cold"
Permafrost Bolts,1,False,"Attack,AoE,Ammunition,Projectile,Cold,Merging"
Volcano,1,False,"Spell,AoE,Projectile,Sustained,Fire,Duration,Channelling"
Flash Grenade,3,False,"Attack,AoE,Projectile,Grenade"
High Velocity Rounds,3,False,"Attack,Ammunition,Projectile,Physical,Duration,Payoff"
Incendiary Shot,3,False,"Attack,AoE,Ammunition,Projectile,Fire,Merging"
Rolling Magma,3,False,"Attack,Shapeshift,Wyvern,AoE,Projectile,Fire,Detonator"
Staggering Palm,3,False,"Attack,Buff,AoE,Melee,Strike,Projectile,Physical,Duration,Wind"
Tempest Bell,3,False,"Attack,AoE,Melee,Sustained,Duration,Conditional"
Wind Blast,3,False,"Attack,AoE,Melee,Wind"
Wing Blast,3,False,"Attack,Shapeshift,Wyvern,AoE,Melee,Wind"
Pounce,3,False,"Attack,Minion,Shapeshift,Werewolf,AoE,Melee,Slam,Trigger,Mark,Duration,Travel,Meta"
Fury of the Mountain,5,False,"Attack,Shapeshift,Bear,AoE,Melee,Slam,Sustained,Duration,Channelling"
Galvanic Shards,5,False,"Attack,Ammunition,Projectile,Lightning,Chaining,Merging"
Ice Shards,5,False,"Attack,AoE,Ammunition,Projectile,Sustained,Cold,Hazard"
Ice Strike,5,False,"Attack,AoE,Melee,Strike,Cold"
Rapid Shot,5,False,"Attack,Ammunition,Projectile,Fire"
Tempest Flurry,5,False,"Attack,AoE,Melee,Strike,Lightning"
Thunderstorm,5,False,"Spell,AoE,Sustained,Lightning,Duration,Storm"
Gas Grenade,5,False,"Attack,AoE,Projectile,Grenade,Fire,Chaos,Duration"
Vaulting Impact,5,False,"Attack,AoE,Melee,Slam,Physical,Duration,Travel,Payoff"
Arctic Howl,5,False,"Warcry,Shapeshift,Buff,Werewolf,AoE,Cold,Duration,Nova"
Devour,5,False,"Attack,Shapeshift,Wyvern,AoE,Melee,Slam"
Artillery Ballista,7,False,"Attack,Totem,AoE,Projectile,Sustained,Duration"
Explosive Shot,7,False,"Attack,AoE,Ammunition,Projectile,Fire,Detonator"
Ferocious Roar,7,False,"Warcry,Shapeshift,Bear,AoE,Nova,Meta"
Freezing Mark,7,False,"Mark,Buff,Cold,Duration"
Glacial Bolt,7,False,"Attack,AoE,Ammunition,Projectile,Cold,Duration"
Spell Totem,7,False,"Spell,Totem,Duration,Conditional,Meta"
Voltaic Grenade,7,False,"Attack,AoE,Projectile,Grenade,Lightning,Duration"
Siphoning Strike,7,False,"Attack,AoE,Melee,Strike,Lightning,Payoff"
Storm Wave,7,False,"Attack,AoE,Melee,Lightning"
Wave of Frost,7,False,"Attack,AoE,Melee,Cold"
Cross Slash,7,False,"Attack,Shapeshift,Werewolf,AoE,Melee"
Charged Staff,9,False,"Spell,Attack,Buff,AoE,Lightning,Duration,Conditional"
Hand of Chayula,9,False,"Attack,AoE,Melee,Strike,Chaos,Meta"
Mantra of Destruction,9,False,"Buff,Chaos,Duration,Conditional"
Oil Barrage,9,False,"Attack,Shapeshift,Wyvern,AoE,Projectile,Sustained,Channelling"
Oil Grenade,9,False,"Attack,AoE,Projectile,Grenade,Fire,Duration"
Siege Ballista,9,False,"Attack,Totem,AoE,Projectile,Fire,Duration,Barrageable"
Stormblast Bolts,9,False,"Attack,AoE,Ammunition,Projectile,Lightning,Duration"
Thrashing Vines,9,False,"Spell,AoE,Sustained,Physical,Duration,Plant"
Rampage,11,False,"Attack,Shapeshift,Bear,AoE,Melee,Slam,Sustained,Channelling,Travel"
Emergency Reload,11,False,"Buff,Duration"
Hailstorm Rounds,11,False,"Attack,AoE,Ammunition,Projectile,Sustained,Cold"
Mortar Cannon,11,False,"Totem,Grenade,Duration,Meta"
Shattering Palm,11,False,"Attack,AoE,Melee,Strike,Trigger,Cold"
Shockburst Rounds,11,False,"Attack,AoE,Ammunition,Projectile,Lightning,Payoff"
Tornado,11,False,"Spell,AoE,Physical,Duration,Wind,Storm"
Whirling Assault,11,False,"Attack,AoE,Melee,Strike"
Cluster Grenade,13,False,"Attack,AoE,Projectile,Grenade,Fire"
Flicker Strike,13,False,"Attack,AoE,Melee,Strike"
Gathering Storm,13,False,"Attack,AoE,Melee,Lightning,Duration,Channelling,Travel"
Plasma Blast,13,False,"Attack,AoE,Ammunition,Projectile,Lightning,Channelling"
Siege Cascade,13,False,"Attack,AoE,Ammunition,Projectile,Sustained"
Walking Calamity,13,False,"Attack,Shapeshift,Buff,Bear,AoE,Trigger,Fire,Duration,Conditional"
Lunar Blessing,13,False,"Warcry,Attack,Shapeshift,Buff,Werewolf,AoE,Melee,Trigger,Cold,Duration"
Flame Breath,13,False,"Attack,Shapeshift,Wyvern,AoE,Sustained,Fire,Duration,Channelling,Detonator"
